title,author,category,faculty,department,course,description,keywords,language,publication_year,file_path,source_url,license_note
Introduction to Computer Science,OpenStax Contributors,Computer Science,School of Science,Computer Science,Introduction to Computer Science,Foundational introduction to computer science and algorithms,computer science;algorithms;programming;computational thinking,English,2023,books/Introduction_to_Computer_Science.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/Introduction_To_Computer_Science_-_WEB.pdf,CC BY 4.0 - OpenStax
College Algebra,OpenStax Contributors,Mathematics,School of Science,Mathematics,College Algebra,Comprehensive algebra textbook covering equations and functions,algebra;equations;functions;mathematics,English,2022,books/College_Algebra.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/CollegeAlgebra-OP.pdf,CC BY 4.0 - OpenStax
Introductory Statistics,OpenStax Contributors,Statistics,School of Science,Mathematics,Introductory Statistics,Introduction to statistical concepts and hypothesis testing,statistics;probability;hypothesis testing;data analysis,English,2023,books/Introductory_Statistics.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryStatistics-OP_i6tAI7e.pdf,CC BY 4.0 - OpenStax
Pharmacology for Nurses,OpenStax Contributors,Health Sciences,School of Health Sciences,Nursing,Pharmacology,Comprehensive pharmacology textbook for nursing students,pharmacology;drugs;nursing;clinical practice,English,2023,books/Pharmacology_for_Nurses.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/Pharmacology-WEB.pdf,CC BY 4.0 - OpenStax
Maternal Newborn Nursing,OpenStax Contributors,Health Sciences,School of Health Sciences,Nursing,Maternal and Child Health,Nursing care for pregnant women and newborns,maternal health;nursing;obstetrics;newborn care,English,2023,books/Maternal_Newborn_Nursing.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/Maternal-Newborn_Nursing-WEB.pdf,CC BY 4.0 - OpenStax
Introductory Business Statistics,OpenStax Contributors,Business,School of Business,Business Administration,Business Statistics,Statistics course for business majors with practical applications,business statistics;data analysis;decision making,English,2023,books/Introductory_Business_Statistics.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryBusinessStatistics-OP.pdf,CC BY 4.0 - OpenStax
Principles of Macroeconomics for AP Courses,OpenStax Contributors,Economics,School of Business,Economics,Macroeconomics,Comprehensive macroeconomics covering GDP and monetary policy,macroeconomics;GDP;inflation;monetary policy,English,2023,books/Principles_Macroeconomics_AP.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/APMacroeconomics2e-OP_7sE2Bz3.pdf,CC BY 4.0 - OpenStax
Principles of Economics 3e,OpenStax Contributors,Economics,School of Business,Economics,Principles of Economics,Foundational economics principles and microeconomic theory,economics;supply;demand;markets,English,2023,books/Principles_Economics_3e.pdf,https://openstax.org/textbooks/principles-of-economics/pdf,CC BY 4.0 - OpenStax
Business Law I Essentials,OpenStax Contributors,Law,School of Law,Legal Studies,Business Law,Introduction to business law and legal principles,business law;contracts;property;torts,English,2022,books/Business_Law_I_Essentials.pdf,https://ia800409.us.archive.org/10/items/openstax-business-law-i-essentials/Business_Law_I_Essentials_-_WEB.pdf,CC BY 4.0 - OpenStax / Internet Archive
Writing Guide with Handbook,OpenStax Contributors,Education,School of Education,English Language Arts,Academic Writing,Comprehensive guide to writing and grammar,writing;grammar;composition;rhetoric,English,2022,books/Writing_Guide_Handbook.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/WritingGuide-WEB.pdf,CC BY 4.0 - OpenStax
