"title","author","category","faculty","department","course","description","keywords","language","publication_year","file_path","source_url","license","license_url","status"
"Introduction to Computer Science","OpenStax","Computer Science","Faculty of Sciences and Information Technology","Computer Science","Introduction to Computer Science","Foundational introduction to computer science covering algorithms, programming paradigms, and computational thinking","computer science;algorithms;programming;data structures","English","2023","books/Introduction_to_Computer_Science.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Introduction_To_Computer_Science_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"College Algebra","OpenStax","Mathematics","Faculty of Sciences and Information Technology","Mathematics","College Algebra","Comprehensive algebra textbook covering equations, functions, graphs, and applications for college students","algebra;equations;functions;polynomials;sequences","English","2022","books/College_Algebra.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/CollegeAlgebra-OP.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Introductory Statistics","OpenStax","Statistics","Faculty of Sciences and Information Technology","Mathematics","Introductory Statistics","Introduction to statistical concepts including probability distributions, hypothesis testing, and regression analysis","statistics;probability;hypothesis testing;confidence intervals;regression","English","2023","books/Introductory_Statistics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryStatistics-OP_i6tAI7e.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Pharmacology for Nurses","OpenStax","Health Sciences","Faculty of Health Sciences","Nursing","Pharmacology","Comprehensive pharmacology textbook designed for nursing students covering drug classifications, mechanisms, and clinical applications","pharmacology;nursing;drugs;clinical practice;mechanisms","English","2023","books/Pharmacology_for_Nurses.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Pharmacology-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Maternal Newborn Nursing","OpenStax","Health Sciences","Faculty of Health Sciences","Nursing","Maternal and Newborn Care","Nursing care covering pregnancy, labor, delivery, and postpartum care for mothers and newborns","maternal health;nursing;obstetrics;newborn care;pregnancy","English","2023","books/Maternal_Newborn_Nursing.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Maternal-Newborn_Nursing-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Introductory Business Statistics","OpenStax","Business","Faculty of Economics, Social Sciences and Management","Business Administration","Business Statistics","Statistics course designed for business majors with practical applications in business decision making","business statistics;data analysis;decision making;forecasting","English","2023","books/Introductory_Business_Statistics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryBusinessStatistics-OP.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Macroeconomics","OpenStax","Economics","Faculty of Economics, Social Sciences and Management","Economics","Macroeconomics","Comprehensive macroeconomics covering GDP, inflation, unemployment, monetary policy, and fiscal policy","macroeconomics;GDP;inflation;monetary policy;fiscal policy","English","2023","books/Principles_Macroeconomics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-macroeconomics-3e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Economics","OpenStax","Economics","Faculty of Economics, Social Sciences and Management","Economics","Principles of Economics","Foundational economics principles covering microeconomics and supply-demand analysis","economics;supply;demand;markets;competition","English","2023","books/Principles_Economics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-economics-3e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Business Law I Essentials","OpenStax","Law","Faculty of Law and Public Administration","Law","Business Law","Introduction to business law covering contracts, property, torts, and business organizations","business law;contracts;property;torts;legal","English","2022","books/Business_Law_I_Essentials.pdf","https://ia800409.us.archive.org/10/items/openstax-business-law-i-essentials/Business_Law_I_Essentials_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Microeconomics","OpenStax","Economics","Faculty of Economics, Social Sciences and Management","Economics","Microeconomics","Microeconomic theory and applications covering consumer behavior, production, and market structures","microeconomics;supply;demand;elasticity;markets","English","2023","books/Principles_Microeconomics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-microeconomics-3e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Psychology 2e","OpenStax","Psychology","Faculty of Economics, Social Sciences and Management","Psychology","Introduction to Psychology","Comprehensive introduction to psychology covering cognition, development, behavior, and mental health","psychology;cognition;development;behavior;neuroscience","English","2023","books/Psychology_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Psychology2e_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"American Government 2e","OpenStax","Political Science","Faculty of Law and Public Administration","Political Science","American Government","Study of U.S. government institutions, political processes, and constitutional law","government;politics;institutions;democracy;constitution","English","2023","books/American_Government_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/american-government-2e-6.11.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
